sp,cn
Quercus alba,white oak
Quercus bicolor,swamp white oak
Quercus chapmanii,Chapman oak
Quercus coccinea,scarlet oak
Quercus elliottii,running oak
Quercus falcata,southern red oak
Quercus geminata,sand live oak
Quercus georgiana,Georgia oak
Quercus hemisphaerica,Darlington oak
Quercus ilicifolia,bear oak
Quercus imbricaria,shingle oak
Quercus incana,bluejack oak
Quercus inopina,sandhill oak
Quercus laevis,turkey oak
Quercus laurifolia,laurel oak
Quercus lyrata,overcup oak
Quercus macrocarpa,bur oak
Quercus margarettae,sand post oak
Quercus marilandica,blackjack oak
Quercus michauxii,swamp chestnut oak
Quercus minima,dwarf live oak
Quercus montana,chestnut oak
Quercus muehlenbergii,chinquapin oak
Quercus myrtifolia,myrtle oak
Quercus nigra,water oak
Quercus pagoda,cherrybark oak
Quercus palustris,pin oak
Quercus phellos,willow oak
Quercus prinoides,dwarf chinquapin oak
Quercus rubra,northern red oak
Quercus shumardii,Shumard's oak
Quercus sinuata,bastard oak
Quercus stellata,post oak
Quercus velutina,black oak
Quercus virginiana,live oak
